MOTIF	LENGTH	GC	EVENT_p14	EVENT_p15	EVENT_p16	EVENT_p17	best_pval
HSF5.H12CORE.0.M.C	12	0.416374070880046	373757	69683	5580	419	1e-06
HSF5.H12CORE.1.S.C	12	0.469419045495094	167382	7902	583	34	1e-05
HSFY1.H12CORE.0.S.B	12	0.421030206864128	79239	4341	109	10	1e-05
HSFY1.H12CORE.1.S.B	18	0.446937321937322	119038	7730	497	68	1e-05
HSFY1.H12CORE.2.M.B	19	0.427260896464916	320944	38043	3790	565	1e-05
HTF4.H12CORE.0.PSM.A	9	0.642	573628	58652	0	0	1e-06
HXA1.H12CORE.0.SM.B	12	0.361263035076205	275075	16963	520	22	1e-05
HXA1.H12CORE.1.S.B	17	0.251578107658158	473661	123346	21774	4283	1e-06
HXA10.H12CORE.0.S.B	10	0.302731893265565	459208	76944	7593	0	1e-06
HXA10.H12CORE.1.M.B	11	0.369715073529412	170798	5313	699	0	1e-05
HXA11.H12CORE.0.PS.A	14	0.318950437317784	671651	166086	24277	2636	1e-06
HXA11.H12CORE.1.SM.B	12	0.367690821760468	162516	8571	812	56	1e-05
HXA13.H12CORE.0.P.B	10	0.253846153846154	545420	132784	15252	0	1e-06
HXA13.H12CORE.1.SM.B	12	0.40068637601135	207098	9118	696	41	1e-05
HXA2.H12CORE.0.SM.B	13	0.390038846247678	258853	21834	1454	50	1e-05
HXA4.H12CORE.0.SM.B	12	0.367849299309768	314225	19967	471	0	1e-05
HXA5.H12CORE.0.SM.B	12	0.374394517159641	260640	22284	1152	47	1e-05
HXA6.H12CORE.0.SM.B	12	0.358018537950332	309426	35339	2796	166	1e-05
HXA7.H12CORE.0.SM.B	13	0.400276774563742	229076	19522	1382	48	1e-05
HXA9.H12CORE.0.P.B	12	0.311333333333333	522968	79820	5878	317	1e-06
HXA9.H12CORE.1.SM.B	11	0.410741434968239	231462	14609	2092	0	1e-05
HXA9.H12CORE.2.P.B	10	0.292384769539078	606387	136152	0	0	1e-06
HXB1.H12CORE.0.SM.B	12	0.346957813826697	284688	23672	1164	34	1e-05
HXB13.H12CORE.0.PS.A	12	0.379003439869085	384294	56704	4005	424	1e-06
HXB13.H12CORE.1.SM.B	12	0.415451028699862	195354	7249	763	45	1e-05
HXB2.H12CORE.0.SM.B	12	0.386205520072993	250559	13461	292	3	1e-05
HXB3.H12CORE.0.S.B	9	0.278755277922378	381779	46606	0	0	1e-06
HXB4.H12CORE.0.P.B	9	0.330111111111111	441479	44767	0	0	1e-06
HXB4.H12CORE.1.PSM.A	13	0.363466627002145	334851	25879	779	89	1e-05
HXB5.H12CORE.0.SM.B	11	0.357528211995071	273830	12223	320	0	1e-05
HXB6.H12CORE.0.SM.B	13	0.384262891579965	289610	31447	2189	66	1e-05
HXB7.H12CORE.0.P.C	14	0.400348432055749	413360	63715	6075	555	1e-06
HXB7.H12CORE.1.SM.B	11	0.383404267695619	279822	27443	1024	0	1e-05
HXB8.H12CORE.0.PSM.A	12	0.369503601088942	263383	22918	610	34	1e-05
