Model	Transcription factor
ETV2_HUMAN.H11MO.0.B	ETV2
ETV4_HUMAN.H11MO.0.B	ETV4
EVI1_HUMAN.H11MO.0.B	MECOM
FEV_HUMAN.H11MO.0.B	FEV
FOXA3_HUMAN.H11MO.0.B	FOXA3
FOXI1_HUMAN.H11MO.0.B	FOXI1
FOXJ3_HUMAN.H11MO.1.B	FOXJ3
FOXO3_HUMAN.H11MO.0.B	FOXO3
GLI3_HUMAN.H11MO.0.B	GLI3
HNF4G_HUMAN.H11MO.0.B	HNF4G
HNF6_HUMAN.H11MO.0.B	ONECUT1
HXA9_HUMAN.H11MO.0.B	HOXA9
HXB4_HUMAN.H11MO.0.B	HOXB4
IRF3_HUMAN.H11MO.0.B	IRF3
IRF8_HUMAN.H11MO.0.B	IRF8
KLF3_HUMAN.H11MO.0.B	KLF3
MAFB_HUMAN.H11MO.0.B	MAFB
MAFF_HUMAN.H11MO.0.B	MAFF
MAFF_HUMAN.H11MO.1.B	MAFF
MAF_HUMAN.H11MO.1.B	MAF
MBD2_HUMAN.H11MO.0.B	MBD2
MEIS1_HUMAN.H11MO.1.B	MEIS1
MEIS2_HUMAN.H11MO.0.B	MEIS2
MYOG_HUMAN.H11MO.0.B	MYOG
MZF1_HUMAN.H11MO.0.B	MZF1
NANOG_HUMAN.H11MO.1.B	NANOG
NDF2_HUMAN.H11MO.0.B	NEUROD2
NFAC1_HUMAN.H11MO.0.B	NFATC1
NFAC1_HUMAN.H11MO.1.B	NFATC1
NFAC2_HUMAN.H11MO.0.B	NFATC2
NFAC3_HUMAN.H11MO.0.B	NFATC3
NFKB1_HUMAN.H11MO.1.B	NFKB1
NFKB2_HUMAN.H11MO.0.B	NFKB2
NKX25_HUMAN.H11MO.0.B	NKX2-5
NKX61_HUMAN.H11MO.0.B	NKX6-1
NKX61_HUMAN.H11MO.1.B	NKX6-1
NR1D1_HUMAN.H11MO.0.B	NR1D1
NR1H3_HUMAN.H11MO.0.B	NR1H3
NR1H3_HUMAN.H11MO.1.B	NR1H3
NR1H4_HUMAN.H11MO.0.B	NR1H4
NR1H4_HUMAN.H11MO.1.B	NR1H4
NR2C2_HUMAN.H11MO.0.B	NR2C2
NR5A2_HUMAN.H11MO.0.B	NR5A2
NR6A1_HUMAN.H11MO.0.B	NR6A1
OLIG2_HUMAN.H11MO.0.B	OLIG2
OLIG2_HUMAN.H11MO.1.B	OLIG2
PKNX1_HUMAN.H11MO.0.B	PKNOX1
PPARA_HUMAN.H11MO.0.B	PPARA
PPARA_HUMAN.H11MO.1.B	PPARA
PTF1A_HUMAN.H11MO.0.B	PTF1A
PTF1A_HUMAN.H11MO.1.B	PTF1A
RARG_HUMAN.H11MO.0.B	RARG
RARG_HUMAN.H11MO.1.B	RARG
REL_HUMAN.H11MO.0.B	REL
RFX1_HUMAN.H11MO.0.B	RFX1
RFX1_HUMAN.H11MO.1.B	RFX1
RFX3_HUMAN.H11MO.0.B	RFX3
RXRG_HUMAN.H11MO.0.B	RXRG
