Model	Transcription factor
NR6A1_MOUSE.H11MO.0.D	Nr6a1
NRF1_MOUSE.H11MO.0.A	Nrf1
OLIG2_MOUSE.H11MO.0.A	Olig2
OLIG2_MOUSE.H11MO.1.A	Olig2
ONEC2_MOUSE.H11MO.0.D	Onecut2
OTX1_MOUSE.H11MO.0.D	Otx1
OTX2_MOUSE.H11MO.0.A	Otx2
OVOL1_MOUSE.H11MO.0.C	Ovol1
OVOL2_MOUSE.H11MO.0.C	Ovol2
P53_MOUSE.H11MO.0.A	Tp53
P53_MOUSE.H11MO.1.A	Tp53
P63_MOUSE.H11MO.0.B	Tp63
P63_MOUSE.H11MO.1.B	Tp63
P73_MOUSE.H11MO.0.B	Tp73
P73_MOUSE.H11MO.1.B	Tp73
PAX2_MOUSE.H11MO.0.D	Pax2
PAX3_MOUSE.H11MO.0.D	Pax3
PAX5_MOUSE.H11MO.0.A	Pax5
PAX6_MOUSE.H11MO.0.C	Pax6
PAX8_MOUSE.H11MO.0.D	Pax8
PBX1_MOUSE.H11MO.0.A	Pbx1
PBX1_MOUSE.H11MO.1.A	Pbx1
PBX1_MOUSE.H11MO.2.C	Pbx1
PBX2_MOUSE.H11MO.0.C	Pbx2
PBX3_MOUSE.H11MO.0.A	Pbx3
PDX1_MOUSE.H11MO.0.B	Pdx1
PEBB_MOUSE.H11MO.0.C	Cbfb
PIT1_MOUSE.H11MO.0.C	Pou1f1
PITX1_MOUSE.H11MO.0.C	Pitx1
PITX2_MOUSE.H11MO.0.D	Pitx2
PKNX1_MOUSE.H11MO.0.A	Pknox1
PLAG1_MOUSE.H11MO.0.D	Plag1
PO2F1_MOUSE.H11MO.0.C	Pou2f1
PO2F2_MOUSE.H11MO.0.B	Pou2f2
PO3F1_MOUSE.H11MO.0.C	Pou3f1
PO3F2_MOUSE.H11MO.0.A	Pou3f2
PO3F2_MOUSE.H11MO.1.A	Pou3f2
PO4F2_MOUSE.H11MO.0.D	Pou4f2
PO5F1_MOUSE.H11MO.0.A	Pou5f1
PO5F1_MOUSE.H11MO.1.A	Pou5f1
PO6F1_MOUSE.H11MO.0.D	Pou6f1
PPARA_MOUSE.H11MO.0.A	Ppara
PPARA_MOUSE.H11MO.1.A	Ppara
PPARD_MOUSE.H11MO.0.D	Ppard
PPARG_MOUSE.H11MO.0.A	Pparg
PPARG_MOUSE.H11MO.1.A	Pparg
PRD14_MOUSE.H11MO.0.A	Prdm14
PRD16_MOUSE.H11MO.0.B	Prdm16
PRDM1_MOUSE.H11MO.0.A	Prdm1
PRDM5_MOUSE.H11MO.0.A	Prdm5
PRDM5_MOUSE.H11MO.1.A	Prdm5
PRDM9_MOUSE.H11MO.0.C	Prdm9
PRGR_MOUSE.H11MO.0.A	Pgr
PRGR_MOUSE.H11MO.1.A	Pgr
PROP1_MOUSE.H11MO.0.C	Prop1
PRRX1_MOUSE.H11MO.0.D	Prrx1
PRRX2_MOUSE.H11MO.0.C	Prrx2
PTF1A_MOUSE.H11MO.0.A	Ptf1a
PTF1A_MOUSE.H11MO.1.A	Ptf1a
PURA_MOUSE.H11MO.0.D	Pura
RARA_MOUSE.H11MO.0.A	Rara
RARA_MOUSE.H11MO.1.A	Rara
RARA_MOUSE.H11MO.2.A	Rara
RARA_MOUSE.H11MO.3.A	Rara
RARB_MOUSE.H11MO.0.D	Rarb
RARG_MOUSE.H11MO.0.C	Rarg
RARG_MOUSE.H11MO.1.C	Rarg
RELB_MOUSE.H11MO.0.C	Relb
REL_MOUSE.H11MO.0.A	Rel
REST_MOUSE.H11MO.0.A	Rest
RFX1_MOUSE.H11MO.0.A	Rfx1
RFX1_MOUSE.H11MO.1.A	Rfx1
RFX2_MOUSE.H11MO.0.A	Rfx2
RFX2_MOUSE.H11MO.1.A	Rfx2
RFX3_MOUSE.H11MO.0.C	Rfx3
RFX3_MOUSE.H11MO.1.C	Rfx3
RFX6_MOUSE.H11MO.0.C	Rfx6
RFX6_MOUSE.H11MO.1.C	Rfx6
RORA_MOUSE.H11MO.0.C	Rora
RORG_MOUSE.H11MO.0.B	Rorc
RREB1_MOUSE.H11MO.0.D	Rreb1
RUNX1_MOUSE.H11MO.0.A	Runx1
RUNX2_MOUSE.H11MO.0.A	Runx2
RUNX3_MOUSE.H11MO.0.A	Runx3
RXRA_MOUSE.H11MO.0.A	Rxra
RXRA_MOUSE.H11MO.1.A	Rxra
RXRA_MOUSE.H11MO.2.A	Rxra
RXRB_MOUSE.H11MO.0.C	Rxrb
RXRG_MOUSE.H11MO.0.B	Rxrg
RXRG_MOUSE.H11MO.1.B	Rxrg
SALL1_MOUSE.H11MO.0.D	Sall1
SALL4_MOUSE.H11MO.0.A	Sall4
SIX2_MOUSE.H11MO.0.A	Six2
SIX4_MOUSE.H11MO.0.C	Six4
SMAD1_MOUSE.H11MO.0.D	Smad1
SMAD2_MOUSE.H11MO.0.A	Smad2
SMAD3_MOUSE.H11MO.0.B	Smad3
SMAD4_MOUSE.H11MO.0.A	Smad4
SMCA5_MOUSE.H11MO.0.C	Smarca5
SNAI1_MOUSE.H11MO.0.C	Snai1
SNAI2_MOUSE.H11MO.0.A	Snai2
SOX10_MOUSE.H11MO.0.B	Sox10
SOX10_MOUSE.H11MO.1.A	Sox10
SOX13_MOUSE.H11MO.0.D	Sox13
SOX15_MOUSE.H11MO.0.D	Sox15
SOX17_MOUSE.H11MO.0.D	Sox17
SOX18_MOUSE.H11MO.0.D	Sox18
SOX2_MOUSE.H11MO.0.A	Sox2
SOX2_MOUSE.H11MO.1.A	Sox2
SOX3_MOUSE.H11MO.0.C	Sox3
SOX4_MOUSE.H11MO.0.A	Sox4
SOX5_MOUSE.H11MO.0.C	Sox5
SOX9_MOUSE.H11MO.0.A	Sox9
SOX9_MOUSE.H11MO.1.A	Sox9
SP1_MOUSE.H11MO.0.A	Sp1
SP1_MOUSE.H11MO.1.A	Sp1
SP2_MOUSE.H11MO.0.B	Sp2
SP2_MOUSE.H11MO.1.C	Sp2
SP3_MOUSE.H11MO.0.B	Sp3
SP4_MOUSE.H11MO.0.B	Sp4
SP4_MOUSE.H11MO.1.B	Sp4
SP5_MOUSE.H11MO.0.C	Sp5
SP5_MOUSE.H11MO.1.C	Sp5
SP7_MOUSE.H11MO.0.A	Sp7
SPI1_MOUSE.H11MO.0.A	Spi1
SPIB_MOUSE.H11MO.0.A	Spib
SPZ1_MOUSE.H11MO.0.D	Spz1
SRBP1_MOUSE.H11MO.0.B	Srebf1
SRBP2_MOUSE.H11MO.0.B	Srebf2
SRF_MOUSE.H11MO.0.A	Srf
SRY_MOUSE.H11MO.0.B	Sry
STA5A_MOUSE.H11MO.0.A	Stat5a
STA5B_MOUSE.H11MO.0.A	Stat5b
STAT1_MOUSE.H11MO.0.A	Stat1
STAT1_MOUSE.H11MO.1.A	Stat1
STAT2_MOUSE.H11MO.0.A	Stat2
